country,region
American Samoa,Southern Asia
Andorra,Latin Europe
Antigua & Barbuda,Latin America
Bahamas,Latin America
Barbados,Latin America
Bermuda,Latin America
Brunei,Southern Asia
Cape Verde,Sub-Sahara Africa
Cook Islands,Southern Asia
Dominica,Latin America
Equatorial Guinea,Sub-Sahara Africa
Eritrea,Sub-Sahara Africa
Fiji,Southern Asia
Gambia,Sub-Sahara Africa
Greenland,Nordic Europe
Grenada,Latin America
Guam,Southern Asia
Guinea-Bissau,Sub-Sahara Africa
Kiribati,Southern Asia
Maldives,Southern Asia
Marshall Islands,Southern Asia
Micronesia (Federated States of),Southern Asia
Monaco,Latin Europe
Nagorno Karabakh,Arab
Nauru,Southern Asia
Niue,Southern Asia
North Korea,Confucian Asia
Northern Cyprus,Eastern Europe
Northern Mariana Islands,Southern Asia
Palau,Southern Asia
Papua New Guinea,Southern Asia
Samoa,Southern Asia
San Marino,Latin Europe
São Tomé & Príncipe,Sub-Sahara Africa
Seychelles,Sub-Sahara Africa
Solomon Islands,Southern Asia
St. Kitts & Nevis,Latin America
St. Lucia,Latin America
St. Vincent & Grenadines,Latin America
Timor-Leste,Southern Asia
Tokelau,Southern Asia
Tonga,Southern Asia
Tuvalu,Southern Asia
U.S. Virgin Islands,Latin America
Vanuatu,Southern Asia
